
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.cpu.dtb_walker_cache.demand_misses::total      3973160                       # number of demand (read+write) misses
system.cpu.dtb_walker_cache.overall_misses::.cpu.mmu.dtb.walker      3973160                       # number of overall misses
system.cpu.dtb_walker_cache.overall_misses::total      3973160                       # number of overall misses
system.cpu.dtb_walker_cache.demand_miss_latency::.cpu.mmu.dtb.walker 249178557000                       # number of demand (read+write) miss cycles
system.cpu.dtb_walker_cache.demand_miss_latency::total 249178557000                       # number of demand (read+write) miss cycles
system.cpu.dtb_walker_cache.overall_miss_latency::.cpu.mmu.dtb.walker 249178557000                       # number of overall miss cycles
system.cpu.dtb_walker_cache.overall_miss_latency::total 249178557000                       # number of overall miss cycles
system.cpu.dtb_walker_cache.demand_accesses::.cpu.mmu.dtb.walker      5699982                       # number of demand (read+write) accesses
system.cpu.dtb_walker_cache.demand_accesses::total      5699982                       # number of demand (read+write) accesses
system.cpu.dtb_walker_cache.overall_accesses::.cpu.mmu.dtb.walker      5699982                       # number of overall (read+write) accesses
system.cpu.dtb_walker_cache.overall_accesses::total      5699982                       # number of overall (read+write) accesses
system.cpu.dtb_walker_cache.demand_miss_rate::.cpu.mmu.dtb.walker     0.697048                       # miss rate for demand accesses
system.cpu.dtb_walker_cache.demand_miss_rate::total     0.697048                       # miss rate for demand accesses
system.cpu.dtb_walker_cache.overall_miss_rate::.cpu.mmu.dtb.walker     0.697048                       # miss rate for overall accesses
system.cpu.dtb_walker_cache.overall_miss_rate::total     0.697048                       # miss rate for overall accesses
system.cpu.dtb_walker_cache.demand_avg_miss_latency::.cpu.mmu.dtb.walker 62715.459987                       # average overall miss latency
system.cpu.dtb_walker_cache.demand_avg_miss_latency::total 62715.459987                       # average overall miss latency
system.cpu.dtb_walker_cache.overall_avg_miss_latency::.cpu.mmu.dtb.walker 62715.459987                       # average overall miss latency
system.cpu.dtb_walker_cache.overall_avg_miss_latency::total 62715.459987                       # average overall miss latency
system.cpu.dtb_walker_cache.blocked_cycles::no_mshrs            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.blocked::no_mshrs            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.blocked::no_targets            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
system.cpu.dtb_walker_cache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
system.cpu.dtb_walker_cache.demand_mshr_misses::.cpu.mmu.dtb.walker      3973160                       # number of demand (read+write) MSHR misses
system.cpu.dtb_walker_cache.demand_mshr_misses::total      3973160                       # number of demand (read+write) MSHR misses
system.cpu.dtb_walker_cache.overall_mshr_misses::.cpu.mmu.dtb.walker      3973160                       # number of overall MSHR misses
system.cpu.dtb_walker_cache.overall_mshr_misses::total      3973160                       # number of overall MSHR misses
system.cpu.dtb_walker_cache.demand_mshr_miss_latency::.cpu.mmu.dtb.walker 245205397000                       # number of demand (read+write) MSHR miss cycles
system.cpu.dtb_walker_cache.demand_mshr_miss_latency::total 245205397000                       # number of demand (read+write) MSHR miss cycles
system.cpu.dtb_walker_cache.overall_mshr_miss_latency::.cpu.mmu.dtb.walker 245205397000                       # number of overall MSHR miss cycles
system.cpu.dtb_walker_cache.overall_mshr_miss_latency::total 245205397000                       # number of overall MSHR miss cycles
system.cpu.dtb_walker_cache.demand_mshr_miss_rate::.cpu.mmu.dtb.walker     0.697048                       # mshr miss rate for demand accesses
system.cpu.dtb_walker_cache.demand_mshr_miss_rate::total     0.697048                       # mshr miss rate for demand accesses
system.cpu.dtb_walker_cache.overall_mshr_miss_rate::.cpu.mmu.dtb.walker     0.697048                       # mshr miss rate for overall accesses
system.cpu.dtb_walker_cache.overall_mshr_miss_rate::total     0.697048                       # mshr miss rate for overall accesses
system.cpu.dtb_walker_cache.demand_avg_mshr_miss_latency::.cpu.mmu.dtb.walker 61715.459987                       # average overall mshr miss latency
system.cpu.dtb_walker_cache.demand_avg_mshr_miss_latency::total 61715.459987                       # average overall mshr miss latency
system.cpu.dtb_walker_cache.overall_avg_mshr_miss_latency::.cpu.mmu.dtb.walker 61715.459987                       # average overall mshr miss latency
system.cpu.dtb_walker_cache.overall_avg_mshr_miss_latency::total 61715.459987                       # average overall mshr miss latency
system.cpu.dtb_walker_cache.replacements      3966197                       # number of replacements
system.cpu.dtb_walker_cache.ReadReq_hits::.cpu.mmu.dtb.walker      1726822                       # number of ReadReq hits
system.cpu.dtb_walker_cache.ReadReq_hits::total      1726822                       # number of ReadReq hits
system.cpu.dtb_walker_cache.ReadReq_misses::.cpu.mmu.dtb.walker      3973160                       # number of ReadReq misses
system.cpu.dtb_walker_cache.ReadReq_misses::total      3973160                       # number of ReadReq misses
system.cpu.dtb_walker_cache.ReadReq_miss_latency::.cpu.mmu.dtb.walker 249178557000                       # number of ReadReq miss cycles
system.cpu.dtb_walker_cache.ReadReq_miss_latency::total 249178557000                       # number of ReadReq miss cycles
system.cpu.dtb_walker_cache.ReadReq_accesses::.cpu.mmu.dtb.walker      5699982                       # number of ReadReq accesses(hits+misses)
system.cpu.dtb_walker_cache.ReadReq_accesses::total      5699982                       # number of ReadReq accesses(hits+misses)
system.cpu.dtb_walker_cache.ReadReq_miss_rate::.cpu.mmu.dtb.walker     0.697048                       # miss rate for ReadReq accesses
system.cpu.dtb_walker_cache.ReadReq_miss_rate::total     0.697048                       # miss rate for ReadReq accesses
system.cpu.dtb_walker_cache.ReadReq_avg_miss_latency::.cpu.mmu.dtb.walker 62715.459987                       # average ReadReq miss latency
system.cpu.dtb_walker_cache.ReadReq_avg_miss_latency::total 62715.459987                       # average ReadReq miss latency
system.cpu.dtb_walker_cache.ReadReq_mshr_misses::.cpu.mmu.dtb.walker      3973160                       # number of ReadReq MSHR misses
system.cpu.dtb_walker_cache.ReadReq_mshr_misses::total      3973160                       # number of ReadReq MSHR misses
system.cpu.dtb_walker_cache.ReadReq_mshr_miss_latency::.cpu.mmu.dtb.walker 245205397000                       # number of ReadReq MSHR miss cycles
system.cpu.dtb_walker_cache.ReadReq_mshr_miss_latency::total 245205397000                       # number of ReadReq MSHR miss cycles
system.cpu.dtb_walker_cache.ReadReq_mshr_miss_rate::.cpu.mmu.dtb.walker     0.697048                       # mshr miss rate for ReadReq accesses
system.cpu.dtb_walker_cache.ReadReq_mshr_miss_rate::total     0.697048                       # mshr miss rate for ReadReq accesses
system.cpu.dtb_walker_cache.ReadReq_avg_mshr_miss_latency::.cpu.mmu.dtb.walker 61715.459987                       # average ReadReq mshr miss latency
system.cpu.dtb_walker_cache.ReadReq_avg_mshr_miss_latency::total 61715.459987                       # average ReadReq mshr miss latency
system.cpu.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.dtb_walker_cache.tags.tagsinuse    15.999428                       # Cycle average of tags in use
system.cpu.dtb_walker_cache.tags.total_refs      5699982                       # Total number of references to valid blocks.
system.cpu.dtb_walker_cache.tags.sampled_refs      3973160                       # Sample count of references to valid blocks.
system.cpu.dtb_walker_cache.tags.avg_refs     1.434622                       # Average number of references to valid blocks.
system.cpu.dtb_walker_cache.tags.warmup_cycle       280000                       # Cycle when the warmup percentage was hit.
system.cpu.dtb_walker_cache.tags.occ_blocks::.cpu.mmu.dtb.walker    15.999428                       # Average occupied blocks per requestor
system.cpu.dtb_walker_cache.tags.occ_percent::.cpu.mmu.dtb.walker     0.999964                       # Average percentage of cache occupancy
system.cpu.dtb_walker_cache.tags.occ_percent::total     0.999964                       # Average percentage of cache occupancy
system.cpu.dtb_walker_cache.tags.occ_task_id_blocks::1024           16                       # Occupied blocks per task id
system.cpu.dtb_walker_cache.tags.age_task_id_blocks_1024::0            2                       # Occupied blocks per task id
system.cpu.dtb_walker_cache.tags.age_task_id_blocks_1024::4           14                       # Occupied blocks per task id
system.cpu.dtb_walker_cache.tags.occ_task_id_percent::1024            1                       # Percentage of cache occupancy per task id
system.cpu.dtb_walker_cache.tags.tag_accesses     15373124                       # Number of tag accesses
system.cpu.dtb_walker_cache.tags.data_accesses     15373124                       # Number of data accesses
system.cpu.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.fetch.icacheStallCycles         2163536158                       # Number of cycles fetch is stalled on an Icache miss
system.cpu.fetch.insts                     2441581616                       # Number of instructions fetch has processed
system.cpu.fetch.branches                   787689999                       # Number of branches that fetch encountered
system.cpu.fetch.predictedBranches          542316217                       # Number of branches that fetch has predicted taken
system.cpu.fetch.cycles                    1943716766                       # Number of cycles fetch has run and was not squashing or blocked
system.cpu.fetch.squashCycles                55018740                       # Number of cycles fetch has spent squashing
system.cpu.fetch.tlbCycles                   14617521                       # Number of cycles fetch has spent waiting for tlb
system.cpu.fetch.miscStallCycles              7382164                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs
system.cpu.fetch.pendingTrapStallCycles       2800617                       # Number of stall cycles due to pending traps
system.cpu.fetch.pendingQuiesceStallCycles      4251356                       # Number of stall cycles due to pending quiesce instructions
system.cpu.fetch.icacheWaitRetryStallCycles        37150                       # Number of stall cycles due to full MSHR
system.cpu.fetch.cacheLines                 314036519                       # Number of cache lines fetched
system.cpu.fetch.icacheSquashes               9320690                       # Number of outstanding Icache misses that were squashed
system.cpu.fetch.tlbSquashes                    14065                       # Number of outstanding ITLB misses that were squashed
system.cpu.fetch.nisnDist::samples         4163851102                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::mean              1.459586                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::stdev             2.801984                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::0               3094383007     74.32%     74.32% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::1                105230258      2.53%     76.84% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::2                 36226891      0.87%     77.71% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::3                165583303      3.98%     81.69% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::4                 60539067      1.45%     83.14% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::5                110298437      2.65%     85.79% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::6                 41404960      0.99%     86.79% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::7                 40493322      0.97%     87.76% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::8                509691857     12.24%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.nisnDist::total           4163851102                       # Number of instructions fetched each cycle (Total)
system.cpu.fetch.branchRate                  0.089481                       # Number of branch fetches per cycle
system.cpu.fetch.rate                        0.277362                       # Number of inst fetches per cycle
system.cpu.icache.demand_hits::.cpu.inst    244852015                       # number of demand (read+write) hits
system.cpu.icache.demand_hits::total        244852015                       # number of demand (read+write) hits
system.cpu.icache.overall_hits::.cpu.inst    244852015                       # number of overall hits
system.cpu.icache.overall_hits::total       244852015                       # number of overall hits
system.cpu.icache.demand_misses::.cpu.inst     69183861                       # number of demand (read+write) misses
system.cpu.icache.demand_misses::total       69183861                       # number of demand (read+write) misses
system.cpu.icache.overall_misses::.cpu.inst     69183861                       # number of overall misses
system.cpu.icache.overall_misses::total      69183861                       # number of overall misses
system.cpu.icache.demand_miss_latency::.cpu.inst 3658830038984                       # number of demand (read+write) miss cycles
system.cpu.icache.demand_miss_latency::total 3658830038984                       # number of demand (read+write) miss cycles
system.cpu.icache.overall_miss_latency::.cpu.inst 3658830038984                       # number of overall miss cycles
system.cpu.icache.overall_miss_latency::total 3658830038984                       # number of overall miss cycles
system.cpu.icache.demand_accesses::.cpu.inst    314035876                       # number of demand (read+write) accesses
system.cpu.icache.demand_accesses::total    314035876                       # number of demand (read+write) accesses
system.cpu.icache.overall_accesses::.cpu.inst    314035876                       # number of overall (read+write) accesses
system.cpu.icache.overall_accesses::total    314035876                       # number of overall (read+write) accesses
system.cpu.icache.demand_miss_rate::.cpu.inst     0.220306                       # miss rate for demand accesses
system.cpu.icache.demand_miss_rate::total     0.220306                       # miss rate for demand accesses
system.cpu.icache.overall_miss_rate::.cpu.inst     0.220306                       # miss rate for overall accesses
system.cpu.icache.overall_miss_rate::total     0.220306                       # miss rate for overall accesses
system.cpu.icache.demand_avg_miss_latency::.cpu.inst 52885.600574                       # average overall miss latency
system.cpu.icache.demand_avg_miss_latency::total 52885.600574                       # average overall miss latency
system.cpu.icache.overall_avg_miss_latency::.cpu.inst 52885.600574                       # average overall miss latency
system.cpu.icache.overall_avg_miss_latency::total 52885.600574                       # average overall miss latency
system.cpu.icache.blocked_cycles::no_mshrs       395195                       # number of cycles access was blocked
system.cpu.icache.blocked_cycles::no_targets          124                       # number of cycles access was blocked
system.cpu.icache.blocked::no_mshrs              9775                       # number of cycles access was blocked
system.cpu.icache.blocked::no_targets               1                       # number of cycles access was blocked
system.cpu.icache.avg_blocked_cycles::no_mshrs    40.429156                       # average number of cycles each access was blocked
system.cpu.icache.avg_blocked_cycles::no_targets          124                       # average number of cycles each access was blocked
system.cpu.icache.writebacks::.writebacks     65337957                       # number of writebacks
system.cpu.icache.writebacks::total          65337957                       # number of writebacks
system.cpu.icache.demand_mshr_hits::.cpu.inst      3845505                       # number of demand (read+write) MSHR hits
system.cpu.icache.demand_mshr_hits::total      3845505                       # number of demand (read+write) MSHR hits
system.cpu.icache.overall_mshr_hits::.cpu.inst      3845505                       # number of overall MSHR hits
system.cpu.icache.overall_mshr_hits::total      3845505                       # number of overall MSHR hits
system.cpu.icache.demand_mshr_misses::.cpu.inst     65338356                       # number of demand (read+write) MSHR misses
system.cpu.icache.demand_mshr_misses::total     65338356                       # number of demand (read+write) MSHR misses
system.cpu.icache.overall_mshr_misses::.cpu.inst     65338356                       # number of overall MSHR misses
system.cpu.icache.overall_mshr_misses::total     65338356                       # number of overall MSHR misses
system.cpu.icache.demand_mshr_miss_latency::.cpu.inst 3458013843456                       # number of demand (read+write) MSHR miss cycles
system.cpu.icache.demand_mshr_miss_latency::total 3458013843456                       # number of demand (read+write) MSHR miss cycles
system.cpu.icache.overall_mshr_miss_latency::.cpu.inst 3458013843456                       # number of overall MSHR miss cycles
system.cpu.icache.overall_mshr_miss_latency::total 3458013843456                       # number of overall MSHR miss cycles
system.cpu.icache.demand_mshr_miss_rate::.cpu.inst     0.208060                       # mshr miss rate for demand accesses
system.cpu.icache.demand_mshr_miss_rate::total     0.208060                       # mshr miss rate for demand accesses
system.cpu.icache.overall_mshr_miss_rate::.cpu.inst     0.208060                       # mshr miss rate for overall accesses
system.cpu.icache.overall_mshr_miss_rate::total     0.208060                       # mshr miss rate for overall accesses
system.cpu.icache.demand_avg_mshr_miss_latency::.cpu.inst 52924.714596                       # average overall mshr miss latency
system.cpu.icache.demand_avg_mshr_miss_latency::total 52924.714596                       # average overall mshr miss latency
system.cpu.icache.overall_avg_mshr_miss_latency::.cpu.inst 52924.714596                       # average overall mshr miss latency
system.cpu.icache.overall_avg_mshr_miss_latency::total 52924.714596                       # average overall mshr miss latency
system.cpu.icache.replacements               65337957                       # number of replacements
system.cpu.icache.ReadReq_hits::.cpu.inst    244852015                       # number of ReadReq hits
system.cpu.icache.ReadReq_hits::total       244852015                       # number of ReadReq hits
system.cpu.icache.ReadReq_misses::.cpu.inst     69183861                       # number of ReadReq misses
system.cpu.icache.ReadReq_misses::total      69183861                       # number of ReadReq misses
system.cpu.icache.ReadReq_miss_latency::.cpu.inst 3658830038984                       # number of ReadReq miss cycles
system.cpu.icache.ReadReq_miss_latency::total 3658830038984                       # number of ReadReq miss cycles
system.cpu.icache.ReadReq_accesses::.cpu.inst    314035876                       # number of ReadReq accesses(hits+misses)
system.cpu.icache.ReadReq_accesses::total    314035876                       # number of ReadReq accesses(hits+misses)
system.cpu.icache.ReadReq_miss_rate::.cpu.inst     0.220306                       # miss rate for ReadReq accesses
system.cpu.icache.ReadReq_miss_rate::total     0.220306                       # miss rate for ReadReq accesses
system.cpu.icache.ReadReq_avg_miss_latency::.cpu.inst 52885.600574                       # average ReadReq miss latency
system.cpu.icache.ReadReq_avg_miss_latency::total 52885.600574                       # average ReadReq miss latency
system.cpu.icache.ReadReq_mshr_hits::.cpu.inst      3845505                       # number of ReadReq MSHR hits
system.cpu.icache.ReadReq_mshr_hits::total      3845505                       # number of ReadReq MSHR hits
system.cpu.icache.ReadReq_mshr_misses::.cpu.inst     65338356                       # number of ReadReq MSHR misses
system.cpu.icache.ReadReq_mshr_misses::total     65338356                       # number of ReadReq MSHR misses
system.cpu.icache.ReadReq_mshr_miss_latency::.cpu.inst 3458013843456                       # number of ReadReq MSHR miss cycles
system.cpu.icache.ReadReq_mshr_miss_latency::total 3458013843456                       # number of ReadReq MSHR miss cycles
system.cpu.icache.ReadReq_mshr_miss_rate::.cpu.inst     0.208060                       # mshr miss rate for ReadReq accesses
system.cpu.icache.ReadReq_mshr_miss_rate::total     0.208060                       # mshr miss rate for ReadReq accesses
system.cpu.icache.ReadReq_avg_mshr_miss_latency::.cpu.inst 52924.714596                       # average ReadReq mshr miss latency
system.cpu.icache.ReadReq_avg_mshr_miss_latency::total 52924.714596                       # average ReadReq mshr miss latency
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.icache.tags.tagsinuse           255.999587                       # Cycle average of tags in use
system.cpu.icache.tags.total_refs           310190371                       # Total number of references to valid blocks.
system.cpu.icache.tags.sampled_refs          65338356                       # Sample count of references to valid blocks.
system.cpu.icache.tags.avg_refs              4.747447                       # Average number of references to valid blocks.
system.cpu.icache.tags.warmup_cycle            263000                       # Cycle when the warmup percentage was hit.
system.cpu.icache.tags.occ_blocks::.cpu.inst   255.999587                       # Average occupied blocks per requestor
system.cpu.icache.tags.occ_percent::.cpu.inst     0.999998                       # Average percentage of cache occupancy
system.cpu.icache.tags.occ_percent::total     0.999998                       # Average percentage of cache occupancy
system.cpu.icache.tags.occ_task_id_blocks::1024          256                       # Occupied blocks per task id
system.cpu.icache.tags.age_task_id_blocks_1024::0           56                       # Occupied blocks per task id
system.cpu.icache.tags.age_task_id_blocks_1024::3            1                       # Occupied blocks per task id
system.cpu.icache.tags.age_task_id_blocks_1024::4          199                       # Occupied blocks per task id
system.cpu.icache.tags.occ_task_id_percent::1024            1                       # Percentage of cache occupancy per task id
system.cpu.icache.tags.tag_accesses         693410108                       # Number of tag accesses
system.cpu.icache.tags.data_accesses        693410108                       # Number of data accesses
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.interrupts.clk_domain.clock           8000                       # Clock period in ticks
system.cpu.itb_walker_cache.demand_hits::.cpu.mmu.itb.walker       127148                       # number of demand (read+write) hits
system.cpu.itb_walker_cache.demand_hits::total       127148                       # number of demand (read+write) hits
system.cpu.itb_walker_cache.overall_hits::.cpu.mmu.itb.walker       127148                       # number of overall hits
system.cpu.itb_walker_cache.overall_hits::total       127148                       # number of overall hits
system.cpu.itb_walker_cache.demand_misses::.cpu.mmu.itb.walker       158986                       # number of demand (read+write) misses
system.cpu.itb_walker_cache.demand_misses::total       158986                       # number of demand (read+write) misses
system.cpu.itb_walker_cache.overall_misses::.cpu.mmu.itb.walker       158986                       # number of overall misses
system.cpu.itb_walker_cache.overall_misses::total       158986                       # number of overall misses
system.cpu.itb_walker_cache.demand_miss_latency::.cpu.mmu.itb.walker   9858612500                       # number of demand (read+write) miss cycles
system.cpu.itb_walker_cache.demand_miss_latency::total   9858612500                       # number of demand (read+write) miss cycles
system.cpu.itb_walker_cache.overall_miss_latency::.cpu.mmu.itb.walker   9858612500                       # number of overall miss cycles
system.cpu.itb_walker_cache.overall_miss_latency::total   9858612500                       # number of overall miss cycles
system.cpu.itb_walker_cache.demand_accesses::.cpu.mmu.itb.walker       286134                       # number of demand (read+write) accesses
system.cpu.itb_walker_cache.demand_accesses::total       286134                       # number of demand (read+write) accesses
system.cpu.itb_walker_cache.overall_accesses::.cpu.mmu.itb.walker       286134                       # number of overall (read+write) accesses
system.cpu.itb_walker_cache.overall_accesses::total       286134                       # number of overall (read+write) accesses
system.cpu.itb_walker_cache.demand_miss_rate::.cpu.mmu.itb.walker     0.555635                       # miss rate for demand accesses
system.cpu.itb_walker_cache.demand_miss_rate::total     0.555635                       # miss rate for demand accesses
system.cpu.itb_walker_cache.overall_miss_rate::.cpu.mmu.itb.walker     0.555635                       # miss rate for overall accesses
system.cpu.itb_walker_cache.overall_miss_rate::total     0.555635                       # miss rate for overall accesses
system.cpu.itb_walker_cache.demand_avg_miss_latency::.cpu.mmu.itb.walker 62009.312141                       # average overall miss latency
system.cpu.itb_walker_cache.demand_avg_miss_latency::total 62009.312141                       # average overall miss latency
system.cpu.itb_walker_cache.overall_avg_miss_latency::.cpu.mmu.itb.walker 62009.312141                       # average overall miss latency
system.cpu.itb_walker_cache.overall_avg_miss_latency::total 62009.312141                       # average overall miss latency
system.cpu.itb_walker_cache.blocked_cycles::no_mshrs            0                       # number of cycles access was blocked
system.cpu.itb_walker_cache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
system.cpu.itb_walker_cache.blocked::no_mshrs            0                       # number of cycles access was blocked
system.cpu.itb_walker_cache.blocked::no_targets            0                       # number of cycles access was blocked
system.cpu.itb_walker_cache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
system.cpu.itb_walker_cache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
system.cpu.itb_walker_cache.writebacks::.writebacks            2                       # number of writebacks
system.cpu.itb_walker_cache.writebacks::total            2                       # number of writebacks
system.cpu.itb_walker_cache.demand_mshr_misses::.cpu.mmu.itb.walker       158986                       # number of demand (read+write) MSHR misses
system.cpu.itb_walker_cache.demand_mshr_misses::total       158986                       # number of demand (read+write) MSHR misses
system.cpu.itb_walker_cache.overall_mshr_misses::.cpu.mmu.itb.walker       158986                       # number of overall MSHR misses
system.cpu.itb_walker_cache.overall_mshr_misses::total       158986                       # number of overall MSHR misses
system.cpu.itb_walker_cache.demand_mshr_miss_latency::.cpu.mmu.itb.walker   9699626500                       # number of demand (read+write) MSHR miss cycles
system.cpu.itb_walker_cache.demand_mshr_miss_latency::total   9699626500                       # number of demand (read+write) MSHR miss cycles
system.cpu.itb_walker_cache.overall_mshr_miss_latency::.cpu.mmu.itb.walker   9699626500                       # number of overall MSHR miss cycles
system.cpu.itb_walker_cache.overall_mshr_miss_latency::total   9699626500                       # number of overall MSHR miss cycles
system.cpu.itb_walker_cache.demand_mshr_miss_rate::.cpu.mmu.itb.walker     0.555635                       # mshr miss rate for demand accesses
system.cpu.itb_walker_cache.demand_mshr_miss_rate::total     0.555635                       # mshr miss rate for demand accesses
system.cpu.itb_walker_cache.overall_mshr_miss_rate::.cpu.mmu.itb.walker     0.555635                       # mshr miss rate for overall accesses
system.cpu.itb_walker_cache.overall_mshr_miss_rate::total     0.555635                       # mshr miss rate for overall accesses
system.cpu.itb_walker_cache.demand_avg_mshr_miss_latency::.cpu.mmu.itb.walker 61009.312141                       # average overall mshr miss latency
system.cpu.itb_walker_cache.demand_avg_mshr_miss_latency::total 61009.312141                       # average overall mshr miss latency
system.cpu.itb_walker_cache.overall_avg_mshr_miss_latency::.cpu.mmu.itb.walker 61009.312141                       # average overall mshr miss latency
system.cpu.itb_walker_cache.overall_avg_mshr_miss_latency::total 61009.312141                       # average overall mshr miss latency
system.cpu.itb_walker_cache.replacements       158352                       # number of replacements
system.cpu.itb_walker_cache.ReadReq_hits::.cpu.mmu.itb.walker       127146                       # number of ReadReq hits
system.cpu.itb_walker_cache.ReadReq_hits::total       127146                       # number of ReadReq hits
system.cpu.itb_walker_cache.ReadReq_misses::.cpu.mmu.itb.walker       158986                       # number of ReadReq misses
system.cpu.itb_walker_cache.ReadReq_misses::total       158986                       # number of ReadReq misses
system.cpu.itb_walker_cache.ReadReq_miss_latency::.cpu.mmu.itb.walker   9858612500                       # number of ReadReq miss cycles
system.cpu.itb_walker_cache.ReadReq_miss_latency::total   9858612500                       # number of ReadReq miss cycles
system.cpu.itb_walker_cache.ReadReq_accesses::.cpu.mmu.itb.walker       286132                       # number of ReadReq accesses(hits+misses)
system.cpu.itb_walker_cache.ReadReq_accesses::total       286132                       # number of ReadReq accesses(hits+misses)
system.cpu.itb_walker_cache.ReadReq_miss_rate::.cpu.mmu.itb.walker     0.555639                       # miss rate for ReadReq accesses
system.cpu.itb_walker_cache.ReadReq_miss_rate::total     0.555639                       # miss rate for ReadReq accesses
system.cpu.itb_walker_cache.ReadReq_avg_miss_latency::.cpu.mmu.itb.walker 62009.312141                       # average ReadReq miss latency
system.cpu.itb_walker_cache.ReadReq_avg_miss_latency::total 62009.312141                       # average ReadReq miss latency
system.cpu.itb_walker_cache.ReadReq_mshr_misses::.cpu.mmu.itb.walker       158986                       # number of ReadReq MSHR misses
system.cpu.itb_walker_cache.ReadReq_mshr_misses::total       158986                       # number of ReadReq MSHR misses
system.cpu.itb_walker_cache.ReadReq_mshr_miss_latency::.cpu.mmu.itb.walker   9699626500                       # number of ReadReq MSHR miss cycles
